particle_number,contour_number,area_from_moment,fancy_area,arch_length,feret_x,feret_y,convexity,aspect_ratio,elongation
283,2,2,2,5.65685,15,45,1,1,999
284,3,2,2,5.65685,12,43,1,1,999
285,4,2,2,5.65685,49,35,1,1,999
286,5,2,2,5.65685,25,35,1,1,999
287,6,2,2,5.65685,41,34,1,1,999
288,0,224,224,101.882,5,5,0.735632,1,1.29908
289,1,2,2,5.65685,9,23,1,1,999
290,2,2,2,5.65685,12,20,1,1,999
291,3,2,2,5.65685,9,19,1,1,999
292,4,6,6,9.65685,23,12,1,0,1.73205
293,5,2,2,5.65685,6,11,1,1,999
294,6,2,2,5.65685,10,9,1,1,999
295,0,160.5,160.5,111.782,5,5,0.593346,1,1.32489
296,1,2,2,5.65685,17,17,1,1,999
297,2,4,4,7.65685,21,15,1,0,1.41421
